ID,1000
MPHED10---,,,PHYSICAL AND HEALTH EDUCATION 10,,,,,N,,,N,,,,,,,4.0000
MSC--10---,,,SCIENCE 10,,,,,N,,,N,,,,,,,4.0000
MSS--10---,,,SOCIAL STUDIES 10,,,,,N,,,N,,,,,,,4.0000
XBA--09G--,,,CONCERT BAND 9 - Guitar,,,,,N,,,N,,,,,,,0.0000
ID,1013
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MAC--11---,,,ACCOUNTING 11,,,,,N,,,Y,,,,,,,4.0000
MCH--11---,,,CHEMISTRY 11,,,,,N,,,N,,,,,,,4.0000
MCH--12---,,,CHEMISTRY 12,,,,,N,,,N,,,,,,,4.0000
MCLE-10---,,,CAREER LIFE EDUCATION 10,,,,,N,,,N,,,,,,,4.0000
MCMPS11---,,,COMPOSITION 11,,,,,N,,,Y,,,,,,,4.0000
MFR--12---,,,FRENCH 12,,,,,N,,,Y,,,,,,,4.0000
MLST-12---,,,LAW STUDIES 12,,,,,N,,,N,,,,,,,4.0000
MLTST11---,,,LITERARY STUDIES 11,,,,,N,,,N,,,,,,,4.0000
MPH--11---,,,PHYSICS 11,,,,,N,,,N,,,,,,,4.0000
MPREC11---,,,PRE-CALCULUS 11,,,,,N,,,N,,,,,,,4.0000
YLAW-2CX--,,,CRIMINOLOGY 12,,,,,N,,,N,,,,,,,4.0000
ID,1014
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MCMCC12--L,,,CHORAL MUSIC 12: CONCERT CHOIR Linear,,,,,N,,,N,,,,,,,4.0000
MDCF-12---,,,DANCE FOUNDATIONS 12,,,,,N,,,N,,,,,,,4.0000
MMUOR12S-L,,,INSTRUMENTAL MUSIC: ORCHESTRA 12 Strings Linear,,,,,N,,,N,,,,,,,4.0000
ID,1015
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MCMPS10---,,,COMPOSITION 10,,,,,N,,,N,,,,,,,2.0000
MFMP-10H--,,,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS,,,,,N,,,N,,,,,,,4.0000
MFOOD10---,,,ADST ?  FOOD STUDIES 10,,,,,N,,,Y,,,,,,,4.0000
MFR--10---,,,FRENCH 10,,,,,N,,,N,,,,,,,4.0000
MPHED10G--,,,PHYSICAL AND HEALTH EDUCATION 10 Girls,,,,,N,,,N,,,,,,,4.0000
MSC--10---,,,SCIENCE 10,,,,,N,,,N,,,,,,,4.0000
MSS--10---,,,SOCIAL STUDIES 10,,,,,N,,,N,,,,,,,4.0000
MVAPH10---,,,VISUAL ARTS: PHOTOGRAPHY 10,,,,,N,,,N,,,,,,,4.0000
MWWK-10---,,,ADST ?  WOODWORK 10,,,,,N,,,Y,,,,,,,4.0000
XBA--09G--,,,CONCERT BAND 9 - Guitar,,,,,N,,,N,,,,,,,0.0000
YCPA-0AXE-,,,COMMUNITY LEADERSHIP 10,,,,,N,,,N,,,,,,,4.0000
ID,1016
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
AELC-12---,,,AP ENGLISH LITERATURE & COMPOSITION 12,,,,,N,,,N,,,,,,,4.0000
MACLV11G--,,,ACTIVE LIVING 11 Girls,,,,,N,,,N,,,,,,,4.0000
MEVSC12C--,,,ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE,,,,,N,,,N,,,,,,,4.0000
MFR--12---,,,FRENCH 12,,,,,N,,,N,,,,,,,4.0000
MINST12---,,,CONTEMPORARY INDIGENOUS STUDIES 12,,,,,N,,,N,,,,,,,4.0000
MLTST12---,,,LITERARY STUDIES 12,,,,,N,,,N,,,,,,,4.0000
MPREC12---,,,PRE-CALCULUS 12,,,,,N,,,N,,,,,,,4.0000
YCPA-2AX-L,,,COMMUNITY LEADERSHIP 12 Linear,,,,,N,,,N,,,,,,,4.0000
YLAW-2CX--,,,CRIMINOLOGY 12,,,,,N,,,N,,,,,,,4.0000
ID,1017
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MADEM10---,,,ADST ? ENTREPRENEURSHIP AND MARKETING 10,,,,,N,,,N,,,,,,,4.0000
MADER09---,,,ADST - Electronics and Robotics,,,,,N,,,N,,,,,,,0.0000
MADGE09D--,,,ADST 9 - General Exploratns Design Innov & Inquiry,,,,,N,,,Y,,,,,,,0.0000
MADIT09---,,,ADST-Information and Communications Technologies 9,,,,,N,,,Y,,,,,,,0.0000
MEN--09C--,,,ENGLISH LANGUAGE ARTS 9 CHALLENGE,,,,,N,,,N,,,,,,,0.0000
MFR--09---,,,FRENCH 9,,,,,N,,,N,,,,,,,0.0000
MMA--09C--,,,MATHEMATICS 9 CHALLENGE,,,,,N,,,N,,,,,,,0.0000
MPHE-09---,,,PHYSICAL AND HEALTH EDUCATION 9,,,,,N,,,N,,,,,,,0.0000
MSC--09C--,,,SCIENCE 9: CHALLENGE,,,,,N,,,N,,,,,,,0.0000
MSS--09C--,,,SOCIAL STUDIES 9 CHALLENGE,,,,,N,,,N,,,,,,,0.0000
ID,1018
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MADEM10---,,,ADST ? ENTREPRENEURSHIP AND MARKETING 10,,,,,N,,,Y,,,,,,,4.0000
MADER09---,,,ADST - Electronics and Robotics,,,,,N,,,N,,,,,,,0.0000
MADGE09D--,,,ADST 9 - General Exploratns Design Innov & Inquiry,,,,,N,,,Y,,,,,,,0.0000
MADIT09---,,,ADST-Information and Communications Technologies 9,,,,,N,,,N,,,,,,,0.0000
MEN--09C--,,,ENGLISH LANGUAGE ARTS 9 CHALLENGE,,,,,N,,,N,,,,,,,0.0000
MFR--09---,,,FRENCH 9,,,,,N,,,Y,,,,,,,0.0000
MMA--09C--,,,MATHEMATICS 9 CHALLENGE,,,,,N,,,N,,,,,,,0.0000
MPHE-09---,,,PHYSICAL AND HEALTH EDUCATION 9,,,,,N,,,N,,,,,,,0.0000
MSC--09C--,,,SCIENCE 9: CHALLENGE,,,,,N,,,N,,,,,,,0.0000
MSP--09---,,,SPANISH 9,,,,,N,,,N,,,,,,,0.0000
MSS--09C--,,,SOCIAL STUDIES 9 CHALLENGE,,,,,N,,,N,,,,,,,0.0000
ID,1019
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MCLE-10---,,,CAREER LIFE EDUCATION 10,,,,,N,,,N,,,,,,,4.0000
MCTWR11---,,,CREATIVE WRITING 11,,,,,N,,,N,,,,,,,4.0000
MEPSS11---,,,EXPLORATIONS IN SOCIAL STUDIES 11,,,,,N,,,N,,,,,,,4.0000
MEVSC11---,,,ENVIRONMENTAL SCIENCE 11,,,,,N,,,N,,,,,,,4.0000
MFOOD11---,,,FOOD STUDIES 11,,,,,N,,,N,,,,,,,4.0000
MIMJB11--L,,,INSTRUMENTAL MUSIC 11: JAZZ BAND LINEAR,,,,,N,,,N,,,,,,,4.0000
MLTST11---,,,LITERARY STUDIES 11,,,,,N,,,Y,,,,,,,4.0000
MVAPH11---,,,PHOTOGRAPHY 11,,,,,N,,,N,,,,,,,4.0000
MWPM-11---,,,WORKPLACE MATHEMATICS 11,,,,,N,,,N,,,,,,,4.0000
YPSYC1AX--,,,PSYCHOLOGY 11,,,,,N,,,N,,,,,,,4.0000
ID,1020
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MFMP-10---,,,FOUNDATIONS OF MATH AND PRE-CALCULUS 10,,,,,N,,,N,,,,,,,4.0000
MMEDD10---,,,ADST ? MEDIA DESIGN 10,,,,,N,,,N,,,,,,,4.0000
MPHED10B--,,,PHYSICAL AND HEALTH EDUCATION 10 Boys,,,,,N,,,N,,,,,,,4.0000
MSC--10---,,,SCIENCE 10,,,,,N,,,N,,,,,,,4.0000
ID,1021
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MACC-12---,,,ACCOUNTING 12,,,,,N,,,Y,,,,,,,4.0000
MCLE-10---,,,CAREER LIFE EDUCATION 10,,,,,N,,,N,,,,,,,4.0000
MCMPS11---,,,COMPOSITION 11,,,,,N,,,N,,,,,,,4.0000
MECOM12---,,,E-COMMERCE 12,,,,,N,,,N,,,,,,,4.0000
MENT-12---,,,ENTREPRENEURSHIP 12,,,,,N,,,N,,,,,,,4.0000
MEPSS11---,,,EXPLORATIONS IN SOCIAL STUDIES 11,,,,,N,,,N,,,,,,,4.0000
MLFSC11---,,,LIFE SCIENCES 11,,,,,N,,,N,,,,,,,4.0000
MLTST11---,,,LITERARY STUDIES 11,,,,,N,,,Y,,,,,,,4.0000
MMAP-11---,,,MARKETING AND PROMOTION 11,,,,,N,,,Y,,,,,,,4.0000
MPH--11---,,,PHYSICS 11,,,,,N,,,N,,,,,,,4.0000
MPREC11---,,,PRE-CALCULUS 11,,,,,N,,,N,,,,,,,4.0000
ID,1022
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MADEM10---,,,ADST ? ENTREPRENEURSHIP AND MARKETING 10,,,,,N,,,N,,,,,,,4.0000
MCMPR11W--,,,WEB DEVELOPMENT,,,,,N,,,N,,,,,,,4.0000
MEFWR10---,,,EFP WRITING 10,,,,,N,,,N,,,,,,,2.0000
MFMP-10---,,,FOUNDATIONS OF MATH AND PRE-CALCULUS 10,,,,,N,,,N,,,,,,,4.0000
MPHED10---,,,PHYSICAL AND HEALTH EDUCATION 10,,,,,N,,,N,,,,,,,4.0000
MSC--10---,,,SCIENCE 10,,,,,N,,,N,,,,,,,4.0000
MSP--10---,,,SPANISH 10,,,,,N,,,N,,,,,,,4.0000
MSS--10---,,,SOCIAL STUDIES 10,,,,,N,,,N,,,,,,,4.0000
ID,1023
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MCMPS10---,,,COMPOSITION 10,,,,,N,,,N,,,,,,,2.0000
MFMP-10---,,,FOUNDATIONS OF MATH AND PRE-CALCULUS 10,,,,,N,,,N,,,,,,,4.0000
MFOOD10---,,,ADST ?  FOOD STUDIES 10,,,,,N,,,N,,,,,,,4.0000
MMAP-11---,,,MARKETING AND PROMOTION 11,,,,,N,,,Y,,,,,,,4.0000
MPHED10B--,,,PHYSICAL AND HEALTH EDUCATION 10 Boys,,,,,N,,,N,,,,,,,4.0000
MSC--10---,,,SCIENCE 10,,,,,N,,,N,,,,,,,4.0000
MSS--10---,,,SOCIAL STUDIES 10,,,,,N,,,N,,,,,,,4.0000
MTPOW10---,,,ADST ?  POWER TECHNOLOGY 10,,,,,N,,,N,,,,,,,4.0000
MWWK-10---,,,ADST ?  WOODWORK 10,,,,,N,,,N,,,,,,,4.0000
ID,1024
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MADEM10---,,,ADST ? ENTREPRENEURSHIP AND MARKETING 10,,,,,N,,,Y,,,,,,,4.0000
MADER09---,,,ADST - Electronics and Robotics,,,,,N,,,N,,,,,,,0.0000
MADGE09I--,,,INCLUSIVE INTRODUCTION TO TRADE SKILLS 9,,,,,N,,,Y,,,,,,,0.0000
MADIT09---,,,ADST-Information and Communications Technologies 9,,,,,N,,,N,,,,,,,0.0000
MEN--09---,,,ENGLISH LANGUAGE ARTS 9,,,,,N,,,N,,,,,,,0.0000
MMA--09---,,,MATHEMATICS 9,,,,,N,,,N,,,,,,,0.0000
MPHE-09B--,,,PHYSICAL AND HEALTH EDUCATION 9 Boys,,,,,N,,,N,,,,,,,0.0000
MSC--09---,,,SCIENCE 9,,,,,N,,,N,,,,,,,0.0000
MSS--09---,,,SOCIAL STUDIES 9,,,,,N,,,N,,,,,,,0.0000
XLDCB09M--,,,TECH ED 9: MECHANICS LD,,,,,N,,,N,,,,,,,0.0000
ID,1025
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MADD-09---,,,ADST - Drafting 9,,,,,N,,,Y,,,,,,,0.0000
MADEM10---,,,ADST ? ENTREPRENEURSHIP AND MARKETING 10,,,,,N,,,Y,,,,,,,4.0000
MADIT09---,,,ADST-Information and Communications Technologies 9,,,,,N,,,N,,,,,,,0.0000
MEN--09---,,,ENGLISH LANGUAGE ARTS 9,,,,,N,,,N,,,,,,,0.0000
MMA--09H--,,,MATHEMATICS 9 HONOURS,,,,,N,,,N,,,,,,,0.0000
MPHE-09B--,,,PHYSICAL AND HEALTH EDUCATION 9 Boys,,,,,N,,,N,,,,,,,0.0000
MSC--09---,,,SCIENCE 9,,,,,N,,,N,,,,,,,0.0000
MSP--09---,,,SPANISH 9,,,,,N,,,N,,,,,,,0.0000
MSS--09---,,,SOCIAL STUDIES 9,,,,,N,,,N,,,,,,,0.0000
XLDCB09S-L,,,STRINGS 9 LINEAR,,,,,N,,,N,,,,,,,0.0000
XLEAD09---,,,LEADERSHIP 9 LD,,,,,N,,,N,,,,,,,0.0000
ID,1026
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MADEM10---,,,ADST ? ENTREPRENEURSHIP AND MARKETING 10,,,,,N,,,Y,,,,,,,4.0000
MADFS09---,,,ADST - Food Studies 9,,,,,N,,,N,,,,,,,0.0000
MADGE09I--,,,INCLUSIVE INTRODUCTION TO TRADE SKILLS 9,,,,,N,,,N,,,,,,,0.0000
MEN--09---,,,ENGLISH LANGUAGE ARTS 9,,,,,N,,,N,,,,,,,0.0000
MMA--09---,,,MATHEMATICS 9,,,,,N,,,N,,,,,,,0.0000
MPHE-09B--,,,PHYSICAL AND HEALTH EDUCATION 9 Boys,,,,,N,,,N,,,,,,,0.0000
MSC--09---,,,SCIENCE 9,,,,,N,,,N,,,,,,,0.0000
MSP--09---,,,SPANISH 9,,,,,N,,,N,,,,,,,0.0000
MSS--09---,,,SOCIAL STUDIES 9,,,,,N,,,N,,,,,,,0.0000
XLDCB09M--,,,TECH ED 9: MECHANICS LD,,,,,N,,,Y,,,,,,,0.0000
ID,1027
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
