Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
MPHE-09G-L,,PHYSICAL AND HEALTH EDUCATION 9 Girls Linear,Physical Education,,N,,1,1,29,1.00,,35,,1,,,,Y
MPHE-09Y--,,PHYSICAL AND HEALTH EDUCATION 9 Yoga for Mindfulns,Physical Education,,N,,2,1,29,2.00,,50,,1,,,,Y
MPHED10---,,PHYSICAL AND HEALTH EDUCATION 10,Physical Education,,N,,2,1,29,2.00,,35,,4,,,,Y
MPHED10--L,,PHYSICAL AND HEALTH EDUCATION 10 LINEAR,Physical Education,,N,,1,1,29,2.00,,35,,2,,,,Y
MPHED10B--,,PHYSICAL AND HEALTH EDUCATION 10 Boys,Physical Education,,N,,2,1,29,2.00,,35,,5,,,,Y
MPHED10B-L,,PHYSICAL AND HEALTH EDUCATION 10 LINEAR Boys,Physical Education,,N,,1,1,29,1.00,,35,,1,,,,Y
MPHED10G--,,PHYSICAL AND HEALTH EDUCATION 10 Girls,Physical Education,,N,,2,1,29,2.00,,35,,4,,,,Y
MPHED10G-L,,PHYSICAL AND HEALTH EDUCATION 10 LINEAR Girls,Physical Education,,N,,1,1,29,1.00,,35,,1,,,,Y
MPREC11---,,PRE-CALCULUS 11,Mathematics,,N,,2,1,29,2.00,,20,,7,,,,Y
MPREC11H--,,PRE-CALCULUS 11 HONOURS,Mathematics,,N,,2,1,29,2.00,,10,,1,,,,Y
MPREC12---,,PRE-CALCULUS 12,Mathematics,,N,,2,1,29,2.00,,20,,6,,,,Y
MPREC12H--,,PRE-CALCULUS 12 HONOURS,Mathematics,,N,,2,1,29,2.00,,10,,1,,,,Y
MRUS-10,,RUSSIAN 10,Languages,,N,,0,0,0,,,0,,0,,,,Y
MRUS-11,,RUSSIAN 11,Languages,,N,,0,0,0,,,0,,0,,,,Y
MRUS-12,,RUSSIAN 12,Languages,,N,,0,0,0,,,0,,0,,,,Y
MSC--09---,,SCIENCE 9,Science,,N,,2,1,23,2.00,,20,,5,,,,Y
MSC--09A--,,SCIENCE 9: ADAPTED,Science,,N,,4,1,15,1.00,,10,,1,,,,Y
Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
,,,,,,Course Schedule Attributes,,,,,,,,,,,,
Page 10,,,,,,,,,,,,,,,,"April 17, 2023",,
,#,Course,Department,Substitute,,,Base Terms/Year,Covered Terms/Year,Max Enrollment,PPC,Priority,,,Sections,Content Terms,,Include,
MSC--09C--,,SCIENCE 9: CHALLENGE,Science,,N,,2,1,23,2.00,,20,,2,,,,Y
MSC--09D--,,Science 9 Discovery,Science,,N,,2,1,23,2.00,,20,,5,,,,Y
MSC--10---,,SCIENCE 10,Science,,N,,2,1,23,2.00,,20,,8,,,,Y
MSC--10C--,,SCIENCE 10: CHALLENGE,Science,,N,,2,1,23,2.00,,20,,2,,,,Y
MSP--09---,,SPANISH 9,Modern Languages,,N,,2,1,29,2.00,,35,,2,,,,Y
MSP--10---,,SPANISH 10,Modern Languages,,N,,2,1,29,2.00,,35,,2,,,,Y
MSP--11---,,SPANISH 11,Modern Languages,,N,,2,1,29,2.00,,35,,2,,,,Y
MSP--12---,,SPANISH 12,Modern Languages,,N,,2,1,29,2.00,,35,,1,,,,Y
MSPLG10--L,,SPOKEN LANGUAGE 10 LINEAR,English,,N,,2,1,24,2.00,,10,,2,,,,Y
MSS--09---,,SOCIAL STUDIES 9,Social Studies,,N,,2,1,24,2.00,,20,,5,,,,Y
MSS--09C--,,SOCIAL STUDIES 9 CHALLENGE,Social Studies,,N,,2,1,24,2.00,,20,,2,,,,Y
MSS--10---,,SOCIAL STUDIES 10,Social Studies,,N,,2,1,24,2.00,,20,,7,,,,Y
MSS--10C--,,SOCIAL STUDIES 10 CHALLENGE,Social Studies,,N,,2,1,24,2.00,,20,,2,,,,Y
MSTAT12---,,STATISTICS 12,Mathematics,,N,,2,1,29,1.00,,15,,1,,,,Y
MSTAT12--L,,STATISTICS 12 LINEAR,Mathematics,,N,,1,1,29,2.00,,15,,1,,,,Y
MSTX-0A---,,SKILLS EXPLORATION 10A,Applied Skills,,N,,2,1,21,2.00,,50,,1,,,,Y
MSTX-0AI--,,INCLUSIVE INTRODUCTION TO TRADE SKILLS 10,Applied Skills,,N,,2,1,21,2.00,,50,,1,,,,Y
MSTX-1A---,,SKILLS EXPLORATION 11A,Applied Skills,,N,,2,1,21,2.00,,50,,2,,,,Y
MSTX-1AI--,,INCLUSIVE INTRODUCTION TO TRADE SKILLS 11,Applied Skills,,N,,2,1,21,2.00,,50,,1,,,,Y
Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
,,,,,,Course Schedule Attributes,,,,,,,,,,,,
Page 11,,,,,,,,,,,,,,,,"April 17, 2023",,
,#,Course,Department,Substitute,,,Base Terms/Year,Covered Terms/Year,Max Enrollment,PPC,Priority,,,Sections,Content Terms,,Include,
