1435
"Semester: 1, Block: D","ARTS EDUCATION 9, VISUAL ARTS: ART STUDIO 10, , "
"Semester: 2, Block: A","EFP WRITING 10, , "
"Semester: 2, Block: B","ADST - Food Studies 9, ADST ?  FOOD STUDIES 10, , "
"Semester: 2, Block: C","PHYSICAL AND HEALTH EDUCATION 9 Girls, PHYSICAL AND HEALTH EDUCATION 10 Girls, , "
"Semester: 2, Block: D","SOCIAL STUDIES 10, , "
Outside,

1165
"Semester: 1, Block: A","PHYSICS 11, , "
"Semester: 1, Block: B","ELL Academic Literacy 11, , "
"Semester: 1, Block: C","ENGLISH FIRST PEOPLES 12 Year, , "
"Semester: 1, Block: D","PRE-CALCULUS 12, , "
"Semester: 2, Block: A","PHYSICS 12, , "
"Semester: 2, Block: B","DRAFTING 12, ADST - Drafting 9, ADST ?  DRAFTING 10, DRAFTING 11, , "
"Semester: 2, Block: C","CALCULUS 12, , "
"Semester: 2, Block: D","CHEMISTRY 12, , "
Outside,

1474
"Semester: 1, Block: A","INTRODUCTORY ITALIAN 11, , "
"Semester: 1, Block: B","FOUNDATIONS OF MATH AND PRE-CALCULUS 10, , "
"Semester: 1, Block: C","SCIENCE 10, , "
"Semester: 1, Block: D","ADST ? MEDIA DESIGN 10, MEDIA DESIGN 11, MEDIA DESIGN 12, , "
"Semester: 2, Block: A","EFP WRITING 10, , "
"Semester: 2, Block: B","SOCIAL STUDIES 10, , "
"Semester: 2, Block: C","PHYSICAL AND HEALTH EDUCATION 9 Girls, PHYSICAL AND HEALTH EDUCATION 10 Girls, , "
"Semester: 2, Block: D","ADST - Electronics and Robotics, ADST ?  ELECTRONICS AND ROBOTICS 10, ROBOTICS 11, ROBOTICS 12, , "
Outside,

1182
"Semester: 1, Block: A","CALCULUS 12, , "
"Semester: 1, Block: B","INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR, INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR, , "
"Semester: 1, Block: C","ITALIAN 12, , "
"Semester: 1, Block: D","PRE-CALCULUS 12, , "
"Semester: 2, Block: A","ENGLISH STUDIES 12, , "
"Semester: 2, Block: B","INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR, INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR, , "
"Semester: 2, Block: C","PSYCHOLOGY 11, , "
"Semester: 2, Block: D",
Outside,"[INSTRUMENTAL MUSIC 11: JAZZ BAND LINEAR,INSTRUMENTAL MUSIC 12: JAZZ BAND LINEAR,][SCHOLARSHIP PREPARATION 12 LINEAR,]"

1376
"Semester: 1, Block: A","ACCOUNTING 11, ACCOUNTING 12, , "
"Semester: 1, Block: B","FOUNDATIONS OF MATH AND PRE-CALCULUS 10, , "
"Semester: 1, Block: C","SCIENCE 10, , "
"Semester: 1, Block: D","ADST ?  POWER TECHNOLOGY 10, TECH ED 9: MECHANICS LD, , "
"Semester: 2, Block: A","EFP WRITING 10, , "
"Semester: 2, Block: B","SOCIAL STUDIES 10, , "
